hidden markov model	0	11
data streams	0	20
training data	0	60
audio visual	0	4
unusual events	0	2
semi supervised	0	22
event detection	0	9
dna sequences	0	2
neural nets	0	2
machine learning	0	114
supervised learning	0	35
speech recognition	0	10
neural networks	0	41
benchmark data sets	0	9
computational biology	0	8
document classification	0	9
neural network	0	34
weakly supervised	0	11
deep learning	0	40
sentiment classification	0	5
recurrent neural networks	0	29
power laws	0	6
web objects	0	4
social tagging	0	2
gaussian graphical models	0	4
conditional independence	0	9
conditionally independent	0	4
opposite direction	0	2
markov chains	0	13
stability analysis	0	2
random variables	0	16
conditional distributions	0	6
error bounds	0	7
markov chain	0	16
approximate inference	0	30
probabilistic models	0	27
grows exponentially	0	2
belief propagation	0	20
marginal distributions	0	3
extremely large	0	5
semantic relationships	0	6
training examples	0	28
image dataset	0	3
set cover	0	3
social network	0	41
np hard	0	20
maximum entropy	0	9
search engines	0	12
search engine	0	11
document summarization	0	2
hierarchical clustering	0	5
long standing	0	8
graph matching	0	4
convex relaxation	0	6
auto encoder	0	6
unsupervised learning	0	28
conditional random field	0	4
real world	0	219
main contributions	0	6
parameter free	0	10
temporal patterns	0	7
communication cost	0	7
communication costs	0	4
theoretical analysis	0	33
frank wolfe	0	6
approximate solution	0	4
optimization problem	0	38
lower bound	0	22
empirical studies	0	23
web search	0	9
pre processing	0	5
web queries	0	2
named entities	0	4
web search engines	0	2
additional information	0	2
distance metrics	0	6
gene expression	0	30
hierarchical dirichlet process	0	5
mixture model	0	21
data fusion	0	4
data integration	0	3
supplementary information supplementary data	0	35
dependency grammar	0	2
word segmentation	0	4
context free	0	2
markov chain monte carlo methods	0	4
prior distributions	0	4
variational inference	0	49
stick breaking	0	7
parse trees	0	7
spatial distribution	0	2
large scale	0	150
human perception	0	2
point process	0	7
determinantal point processes	0	6
confidence intervals	0	4
data sets	0	66
active learning	0	21
parameter estimation	0	17
object class	0	3
free form	0	2
newly introduced	0	2
query evaluation	0	2
approximate solutions	0	4
object localization	0	3
bounding boxes	0	3
sliding window	0	5
object detection	0	24
aspect ratios	0	2
patch based	0	2
texture mapping	0	2
input image	0	6
analogical reasoning	0	2
word embedding	0	5
word embeddings	0	9
semantic meaning	0	3
model selection	0	11
likelihood function	0	5
gaussian processes	0	16
benchmark datasets	0	23
group lasso	0	5
reproducing kernel hilbert space	0	10
probabilistic graphical models	0	6
infinite dimensional	0	4
normalizing constant	0	3
graphical model	0	25
exponential family	0	10
graph structure	0	7
exponential families	0	3
data management	0	4
optimal solution	0	9
low level	0	17
retrieval performance	0	4
image database	0	7
general purpose	0	11
image retrieval	0	13
global optimization	0	8
relevance feedback	0	6
semantic information	0	6
closed form	0	13
transfer learning	0	9
multiple views	0	8
cross modal	0	4
query processing	0	13
differential privacy	0	10
privacy preserving	0	7
data analysis	0	23
social networks	0	65
correlation clustering	0	5
shortest path	0	5
large graphs	0	21
public private	0	2
anomaly detection	0	15
information flow	0	2
semantic meanings	0	3
recent advances	0	16
research challenges	0	2
pattern mining	0	12
maximum margin	0	8
markov networks	0	9
rule based	0	8
structured prediction	0	22
graphical models	0	36
web data extraction	0	3
posterior distribution	0	12
l1 regularized	0	5
bayesian networks	0	11
input output	0	7
maximum likelihood	0	25
hidden variables	0	17
convex optimization	0	32
high dimensional	0	75
loss function	0	19
objective function	0	33
ensemble methods	0	2
deep convolutional neural network	0	5
visual recognition	0	9
multi scale	0	7
computing resources	0	3
distributional semantics	0	2
sentiment lexicon	0	2
hidden layers	0	5
log likelihood	0	15
minimum description length	0	5
largest eigenvalue	0	2
covariance matrix	0	10
upper bound	0	18
semidefinite programming	0	10
frobenius norm	0	2
sparse pca	0	5
positive semidefinite	0	3
labeled examples	0	6
dimension reduction	0	8
feature extraction	0	13
high dimensional data	0	27
scatter matrices	0	3
principal component analysis	0	15
pca lda	0	3
face recognition	0	12
eigen decomposition	0	3
linear discriminant analysis	0	11
raw data	0	7
high quality	0	36
binary codes	0	2
image datasets	0	11
graph mining	0	16
black box	0	15
shared memory	0	3
consistently outperforms	0	5
stochastic optimization	0	6
multi core	0	6
variance reduction	0	5
parallel execution	0	2
missing data	0	16
normal distribution	0	4
svm classifier	0	3
polarity classification	0	3
f1 score	0	7
sentiment analysis	0	13
dictionary learning	0	8
data set	0	38
object categories	0	7
object recognition	0	24
performance gains	0	5
mid level	0	7
pre defined	0	3
domain knowledge	0	10
wide range	0	35
similarity functions	0	2
index structure	0	9
association rule	0	3
similarity search	0	16
data mining	0	77
similarity function	0	7
market basket	0	2
false discovery rate	0	3
escherichia coli	0	2
false positives	0	3
information transfer	0	3
multi task learning	0	22
previous approaches	0	8
source code	0	19
unsupervised domain adaptation	0	8
fine tuning	0	5
high sensitivity	0	3
loss functions	0	13
cross domain	0	6
domain adaptation	0	14
large margin	0	21
fraud detection	0	9
billion edges	0	4
fake reviews	0	3
bipartite graph	0	3
upper bounds	0	13
linear program	0	2
maximum likelihood estimation	0	12
differentially private	0	7
minimization problem	0	3
post processing	0	4
gibbs sampler	0	7
topic model	0	27
predictive performance	0	23
document collections	0	5
hierarchical bayesian	0	8
nearest neighbor	0	20
error rates	0	5
low dimensional	0	40
image denoising	0	5
linear model	0	9
data driven	0	20
state space	0	16
bayesian analysis	0	2
kalman smoothing	0	2
bayesian learning	0	5
junction tree	0	5
variational bayesian	0	4
hidden state	0	7
regularization term	0	3
empirical evidence	0	11
log linear models	0	3
viral marketing	0	8
heuristic algorithm	0	3
influence maximization	0	7
optimal solutions	0	4
feasible solutions	0	2
revenue maximization	0	2
photo collections	0	3
bundle adjustment	0	2
inexact newton	0	2
computationally efficient	0	21
dimensionality reduction	0	30
latent space	0	12
input data	0	11
euclidean distances	0	2
intelligence analysts	0	2
news articles	0	10
user feedback	0	8
user studies	0	9
large datasets	0	33
web users	0	4
health care	0	2
experimentally validated	0	2
web server	0	4
manually curated	0	2
open access	0	3
single image	0	10
sparsity prior	0	2
statistical physics	0	3
turbo codes	0	2
free energy	0	3
message passing	0	9
brain network	0	2
tensor factorization	0	10
motion capture	0	6
large databases	0	9
linear dynamical systems	0	3
manual labeling	0	3
transition matrix	0	3
real valued	0	11
temporal dynamics	0	7
em algorithm	0	17
social media	0	33
relevant information	0	10
high throughput	0	8
rna seq	0	4
semi parametric	0	4
differential expression	0	3
experimental design	0	5
software package	0	5
sample size	0	15
electronic health records	0	4
decision making	0	10
human supervision	0	2
clinical research	0	2
predictive power	0	4
patient management	0	2
dirichlet process	0	16
topic detection	0	2
empirical bayes	0	2
document clustering	0	4
novelty detection	0	2
dirichlet multinomial	0	3
web based	0	4
computational efficiency	0	13
prohibitively high	0	2
hypothesis testing	0	8
null hypotheses	0	2
sequential monte carlo	0	6
low noise	0	4
lower bounds	0	13
complexity measure	0	2
vc dimension	0	4
worst case	0	11
complexity measures	0	2
deep convolutional neural networks	0	11
ground truth	0	25
notoriously difficult	0	3
segmentation algorithm	0	4
conditional random fields	0	10
training set	0	22
segmentation algorithms	0	3
regression problems	0	4
quadratic optimization	0	2
classification problems	0	15
support vector machines	0	18
http www	0	27
generative model	0	44
multilayer perceptrons	0	2
generative models	0	28
generative adversarial	0	5
nonparametric bayesian	0	21
multi task	0	17
posterior distributions	0	10
bayesian nonparametrics	0	4
convergence rates	0	9
multivariate gaussian	0	6
gaussian distributions	0	3
parameter space	0	5
covariance matrices	0	4
discriminative training	0	4
empirical risk minimization	0	6
breast cancer	0	2
penalty function	0	2
gold standard	0	3
test sets	0	2
times faster	0	14
encoder decoder	0	5
semantic relatedness	0	5
higher degree	0	2
numerically stable	0	2
l1 regularization	0	3
update rule	0	3
error rate	0	13
massive data	0	9
gradient descent	0	10
generalization error	0	7
convergence rate	0	17
submodular optimization	0	9
condition number	0	2
optimization algorithm	0	7
minimum norm	0	2
strong convexity	0	2
regression model	0	5
joint optimization	0	4
gradient based	0	7
data points	0	37
closely related	0	15
sparse regression	0	2
covariance function	0	2
large data sets	0	17
partition function	0	9
coordinate descent	0	5
topic models	0	40
topic discovery	0	2
machine translation	0	12
artificial intelligence	0	4
computer vision	0	43
natural language processing	0	23
highly variable	0	3
image collection	0	3
greedy algorithm	0	7
submodular function	0	3
densely connected	0	6
markov chain monte carlo	0	24
parameter estimates	0	4
undirected graphical models	0	5
markov random fields	0	11
latent factor	0	8
online shopping	0	4
e commerce	0	12
latent factors	0	7
user item	0	7
personalized recommendation	0	4
recommender systems	0	18
nearest neighbor search	0	5
search algorithm	0	2
textual descriptions	0	2
decision support systems	0	2
branch and bound	0	5
missing values	0	9
compressive sensing	0	3
matrix completion	0	4
trace norm	0	8
collaborative filtering	0	23
rating matrix	0	2
low rank	0	22
monte carlo	0	12
latent semantic	0	4
importance sampling	0	7
retrieval accuracy	0	3
undirected graphical model	0	4
latent dirichlet allocation	0	25
temporal coherence	0	3
factor analysis	0	7
expectation maximization	0	19
prior knowledge	0	13
real scenes	0	2
xml documents	0	2
chemical compounds	0	2
frequent pattern mining	0	11
variational autoencoder	0	3
variational methods	0	11
belief networks	0	4
natural images	0	17
input images	0	8
text corpora	0	13
hierarchical dirichlet processes	0	2
superior performance	0	21
hierarchical dirichlet process hdp	0	5
high scalability	0	3
user level	0	4
prediction accuracy	0	20
diffusion processes	0	6
feature based	0	6
distance computation	0	2
cluster based	0	4
clustering ensemble	0	2
concurrency control	0	4
big data	0	25
textual documents	0	2
parallel computing	0	6
open source	0	8
gene expressions	0	4
user friendly	0	12
recommendation systems	0	5
text mining	0	5
weighted sum	0	3
partially observed	0	6
heterogeneous network	0	5
text messages	0	3
user interests	0	7
latent variables	0	31
latent variable	0	14
word alignment	0	7
saddle point	0	4
structured output	0	7
convex concave	0	4
dynamic programming	0	12
image segmentation	0	14
quadratic program	0	4
combinatorial algorithms	0	2
variable selection	0	4
kernel functions	0	4
multiple kernels	0	2
regularization parameter	0	8
logistic regression	0	18
linear regression	0	8
norm regularization	0	6
text analysis	0	4
semantic representations	0	3
user profile	0	2
comparable corpora	0	2
sentence extraction	0	2
visual odometry	0	4
state estimation	0	2
latent variable models	0	19
autonomous vehicles	0	2
sensor readings	0	2
camera images	0	2
network architecture	0	3
function approximators	0	3
recurrent neural network	0	13
convolutional neural networks	0	22
online learning	0	11
online advertising	0	5
implicit feedback	0	5
user behavior	0	12
highly efficient	0	9
medium sized	0	2
gibbs sampling	0	15
multi label classification	0	6
multi class	0	13
max margin	0	15
classification performance	0	9
data augmentation	0	5
restrictive assumptions	0	5
user generated	0	9
distant supervision	0	4
medical knowledge	0	2
medical information	0	2
linguistic cues	0	2
vision tasks	0	3
scene classification	0	5
analytic functions	0	2
graphic user interface	0	2
copy number	0	2
dna copy number	0	2
command line interface	0	2
tumor samples	0	3
search queries	0	5
mutual reinforcement	0	4
search task	0	3
point processes	0	7
hawkes processes	0	4
user query	0	2
search tasks	0	2
synthetic data	0	39
query log	0	3
field theory	0	2
small scale	0	6
posterior inference	0	19
quasi newton	0	4
pascal voc	0	11
average precision	0	7
optimization techniques	0	9
information diffusion	0	13
online social networks	0	12
prior information	0	8
link prediction	0	17
particle filtering	0	2
metropolis hastings	0	6
kullback leibler divergence	0	3
parameter learning	0	9
sequential monte carlo smc	0	2
particle filters	0	3
high level	0	26
data records	0	3
information extraction	0	11
directed graphs	0	10
labeled data	0	21
distributed denial of service	0	2
connectivity patterns	0	8
detection accuracy	0	4
directed graph	0	4
twitter users	0	3
network traffic	0	5
timing information	0	2
experimental evaluations	0	14
question answer	0	2
long term	0	15
community question answering cqa	0	3
graph theoretic	0	2
multi dimensional	0	15
expert finding	0	5
question answering	0	14
real life	0	35
multi view	0	26
graph clustering	0	6
non negative matrix factorization	0	6
multi domain	0	3
data model	0	2
cardinality estimation	0	3
kernel based	0	13
estimation errors	0	2
high accuracy	0	18
database systems	0	3
higher order	0	15
input space	0	7
manifold learning	0	11
previously proposed	0	9
deep architectures	0	7
score function	0	2
low variance	0	3
search space	0	14
biologically relevant	0	2
spatially varying	0	4
spatio temporal	0	13
historical data	0	2
short range	0	4
long range	0	13
computationally expensive	0	11
projection matrix	0	2
semidefinite relaxation	0	2
synthetic datasets	0	14
support recovery	0	2
numerical experiments	0	13
random vector	0	2
dependency structure	0	7
classification and regression trees	0	2
generalized linear models	0	5
probability distributions	0	5
large deviation	0	3
conditional probabilities	0	8
cold start	0	9
fine grained	0	20
matrix factorization	0	22
real data sets	0	31
high capacity	0	5
a 4	0	3
stochastic gradient descent	0	17
langevin dynamics	0	5
prediction error	0	5
stochastic gradient	0	11
widely adopted	0	3
running times	0	4
sensor observations	0	2
kernel methods	0	16
statistical tests	0	3
statistical significance	0	6
classification error	0	4
limited memory	0	5
conjugate gradient	0	2
line search	0	2
optimization methods	0	7
big datasets	0	3
data science	0	2
linguistic information	0	2
word error rate	0	2
optimization problems	0	9
graph cut	0	7
sequential pattern mining	0	5
sequential patterns	0	5
action recognition	0	5
computational cost	0	26
feature learning	0	16
genetic markers	0	4
genetic variations	0	2
single nucleotide polymorphisms	0	5
structural information	0	4
highly correlated	0	5
quantitative traits	0	2
multivariate regression	0	3
fused lasso	0	2
genetic variation	0	4
link analysis	0	4
natural language	0	22
discriminative learning	0	6
trade offs	0	4
information retrieval	0	23
amino acid	0	4
cluster analysis	0	2
phylogenetic tree	0	2
drug design	0	2
mutual information	0	7
hidden markov models	0	14
electron microscopy	0	2
carefully chosen	0	2
cyber security	0	6
storage space	0	2
similarity based	0	4
gene ontology	0	9
functional annotation	0	4
visual concepts	0	3
semi markov	0	3
purchasing behavior	0	2
gaussian mixture model	0	5
product recommendation	0	2
computational methods	0	3
cross validation	0	8
highly accurate	0	6
significantly reduced	0	2
light field	0	2
light source	0	2
task oriented	0	2
personalized search	0	2
topic modeling	0	22
user preferences	0	8
kl divergence	0	5
clustering technique	0	3
brute force	0	4
face identification	0	2
feature space	0	21
penn treebank	0	5
document collection	0	4
document retrieval	0	5
search results	0	9
parameter tuning	0	3
query expansion	0	2
search result	0	4
epidemic spread	0	2
adjacency matrix	0	3
primal dual	0	6
approximation algorithms	0	4
approximation error	0	5
outlier detection	0	11
probability density	0	6
estimation method	0	2
covariate shift	0	3
learning to rank	0	3
embedding space	0	6
image annotation	0	5
ranked list	0	6
web documents	0	5
research questions	0	4
research communities	0	2
research efforts	0	2
feature representations	0	14
deep reinforcement learning	0	5
benchmark suite	0	2
hierarchical structure	0	10
https url	0	2
reinforcement learning	0	23
atari games	0	6
high impact	0	8
previous works	0	7
temporal relations	0	2
short term	0	4
black boxes	0	2
restricted boltzmann machine rbm	0	3
facial expression	0	3
recognition tasks	0	2
recognition performance	0	5
auto regressive	0	2
feed forward	0	12
feature selection	0	34
graph databases	0	6
structured data	0	8
feature set	0	5
pairwise similarity	0	6
feature sets	0	6
selection strategy	0	2
exact matching	0	2
nearest neighbors	0	8
performance evaluation	0	3
data structures	0	8
density estimation	0	6
tree based	0	9
probability distribution	0	11
real world data sets	0	17
single pass	0	7
correlation coefficient	0	2
noise estimation	0	2
standard deviation	0	3
natural image	0	7
high frequency	0	3
persistent homology	0	2
distance function	0	2
topological information	0	2
smooth functions	0	5
topological features	0	2
tuning parameters	0	4
label propagation	0	4
euclidean space	0	5
local neighborhood	0	3
subspace learning	0	5
locally linear embedding	0	3
face database	0	2
weighted graph	0	3
user defined	0	4
weighted graphs	0	4
motion patterns	0	2
indexing scheme	0	3
moving objects	0	7
variable sized	0	2
semantic analysis	0	3
similarity measures	0	7
variable size	0	3
feature vectors	0	8
random walks	0	10
countably infinite	0	2
transition matrices	0	2
pairwise constraints	0	3
data analytics	0	5
alternating direction method of multipliers admm	0	7
noisy data	0	3
amazon mechanical turk	0	5
video frames	0	4
youtube videos	0	6
video summarization	0	4
image processing	0	6
image classification	0	23
image captioning	0	4
neural machine translation	0	2
restricted boltzmann machine	0	4
deep belief nets	0	3
input vector	0	3
spectral clustering	0	17
speech separation	0	2
global optimum	0	6
maximal cliques	0	3
local search	0	3
local minimum	0	4
attributed graphs	0	4
camera position	0	4
video sequence	0	3
coreference resolution	0	6
n gram	0	5
significant performance improvements	0	2
submodular maximization	0	6
spl times	0	2
high resolution	0	7
super resolution	0	2
statistical machine translation	0	7
phrase based	0	3
translation quality	0	3
carefully selected	0	2
hamiltonian monte carlo	0	4
gaussian distribution	0	5
conditional likelihood	0	3
tree structured	0	6
map inference	0	3
naive bayes	0	2
hidden units	0	10
statistically significant	0	5
multi layer	0	14
knowledge discovery	0	9
uncertain data	0	6
acm sigkdd	0	4
communication overhead	0	5
divide and conquer	0	8
distributed algorithms	0	2
sampling method	0	6
memory usage	0	2
distributed computing	0	4
information loss	0	5
feasible solution	0	2
implementation details	0	2
disk based	0	3
constraint based	0	5
mining frequent	0	7
unlabeled data	0	21
class conditional densities	0	3
handwritten digits	0	4
semi supervised learning	0	17
gaussian process	0	20
posterior probabilities	0	6
statistical model	0	10
protein sequences	0	4
large document collections	0	3
statistical analysis	0	7
image stitching	0	2
panoramic images	0	2
cost functions	0	5
gradient domain	0	2
sparse representation	0	8
recent developments	0	5
high dimensionality	0	9
singular vector	0	2
sparse coding	0	10
learning rate	0	4
classification algorithms	0	5
cost function	0	11
regularization parameters	0	3
hidden layer	0	7
joint diagonalization	0	2
moment matching	0	3
independent component analysis	0	6
canonical correlation analysis	0	7
sample complexity	0	19
tree structures	0	8
tree structure	0	9
bio informatics	0	2
conserved regions	0	2
entropy based	0	2
similarity measure	0	11
biological sequences	0	2
language modeling	0	5
multi step	0	2
character level	0	5
image generation	0	4
linear programming	0	5
linear classifiers	0	2
microarray data	0	13
l1 norm	0	9
principal components analysis	0	2
dense correspondence	0	2
order statistics	0	6
deep networks	0	18
batch size	0	2
auto encoders	0	11
rectified linear units	0	4
parameter values	0	4
batch normalization	0	2
graph regularized	0	6
markov decision process	0	5
budget allocation	0	4
contextual information	0	7
binary matrices	0	5
bipartite graphs	0	5
equivalence classes	0	4
stochastic processes	0	4
latent feature	0	8
indian buffet process	0	8
stochastic process	0	4
research papers	0	4
research topic	0	6
early stage	0	2
empirical evaluations	0	7
data structure	0	9
aggregation functions	0	2
studied extensively	0	7
online analytical processing	0	2
data cube	0	5
texture synthesis	0	2
